273067760,tory
796675838,ndp
17314758,ndp
305695167,ndp
4046229945,ndp
304991157,ndp
269187135,tory
15205787,ndp
275600932,ndp
54962166,ndp
245954929,liberal
407261547,ndp
19557595,ndp
143460822,tory
20159038,tory
272234584,ndp
212295349,tory
243847328,tory
271745470,ndp
24474900,tory
208750527,liberal
47114722,tory
196717787,ndp
62909691,ndp
2194182998,ndp
272617171,tory
378207083,liberal
59084035,liberal
201394249,tory
19912340,tory
171977015,liberal
4182295271,tory
80160605,tory
2817975217,tory
279137282,tory
263553593,liberal
129395750,tory
274305156,ndp
280831905,ndp
76918775,tory
72652039,tory
275821378,tory
16307818,ndp
274328258,tory
69050763,tory
620605132,ndp
243709627,tory
2459904061,tory
226344619,tory
2375996328,tory
43545966,tory
16180205,liberal
266635199,liberal
76710096,liberal
259329872,tory
77374359,ndp
21123463,tory
3205897816,liberal
325555085,ndp
20390307,tory
68452445,tory
363997684,ndp
365069130,liberal
1449320024,tory
1449023288,tory
266855812,ndp
363697539,bloc
68995519,tory
188359178,liberal
243690594,ndp
176207343,tory
279208924,tory
24757140,tory
958250126,tory
110396108,liberal
3016645026,tory
76233932,tory
274831602,tory
271343342,tory
271505228,tory
1362055008,other
1638538464,tory
413423918,tory
276595482,ndp
272903688,liberal
273139118,tory
156288226,tory
372031945,green
256360738,tory
16189107,ndp
206307515,tory
56415147,tory
2694029522,tory
205448899,tory
272056371,tory
92651574,ndp
45637133,tory
57309123,tory
45923631,tory
24403218,tory
327038655,ndp
65624152,liberal
3451204994,tory
472064608,ndp
369088384,ndp
292067263,tory
63210367,tory
103772503,green
121483664,tory
56132313,bloc
262352090,tory
479643994,ndp
19881863,ndp
271073165,liberal
47135309,tory
103086205,liberal
22785676,ndp
218677733,tory
276657926,ndp
24171225,tory
99334624,tory
267588644,tory
17559395,liberal
2791988124,tory
52447427,ndp
196159502,ndp
139407582,tory
204796709,ndp
16220555,green
24738102,tory
275026205,ndp
272183541,tory
26282371,ndp
286229457,ndp
242827267,tory
237281828,tory
240786249,liberal
421336331,ndp
28922499,tory
14538949,tory
334802268,ndp
76143039,liberal
2303650022,tory
434271579,ndp
274231222,ndp
22244391,tory
272436944,ndp
340381029,ndp
191750320,tory
276234003,tory
19750015,ndp
60916234,ndp
45631939,tory
54572255,ndp
80702644,liberal
356378265,ndp
18585980,ndp
529665584,ndp
75443458,tory
2982296939,tory
35764984,tory
72905123,tory
271959297,tory
35781335,tory
40550119,liberal
92091739,ndp
18654401,ndp
72663989,ndp
288970758,ndp
25127782,liberal
63164245,tory
275313660,ndp
34041396,tory
398241429,tory
80475670,tory
55687338,tory
283179858,tory
23604951,ndp
27823555,ndp
2579033064,ndp
251116380,tory
35826823,tory
44718864,tory
16278177,tory
14260960,liberal
464871646,ndp
244196762,ndp
273654460,ndp
321663386,ndp
280523158,tory
